ts,invest,money,buy,sell
1282262400,10000.000,10000.000,10000.000,0.000
1282867200,10000.000,10009.000,0.000,0.000
1283472000,10000.000,10060.000,0.000,0.000
1284076800,10000.000,10060.000,0.000,0.000
1284681600,10000.000,10040.000,0.000,0.000
1285027200,10000.000,10049.000,0.000,0.000
1285804800,10000.000,10069.000,0.000,0.000
1286496000,10000.000,10129.000,0.000,0.000
1287100800,10000.000,9940.000,0.000,0.000
1287705600,10000.000,10100.000,0.000,0.000
1288051200,10000.000,10189.000,0.000,0.000
1288137600,10000.000,10140.000,0.000,0.000
1288224000,10000.000,10129.000,0.000,0.000
1288310400,10000.000,10169.000,0.000,0.000
1288569600,10000.000,10260.000,0.000,0.000
1288656000,10000.000,10240.000,0.000,0.000
1288742400,10000.000,10240.000,0.000,0.000
1288828800,10000.000,10300.000,0.000,0.000
1288915200,10000.000,10330.000,0.000,0.000
1289174400,10000.000,10380.000,0.000,0.000
1289260800,10000.000,10450.000,0.000,0.000
1289347200,10000.000,10580.000,0.000,0.000
1289433600,10000.000,10510.000,0.000,0.000
1289520000,10000.000,10200.000,0.000,0.000
1289779200,10000.000,10420.000,0.000,0.000
1289865600,10000.000,10270.000,0.000,0.000
1289952000,10000.000,10020.000,0.000,0.000
1290038400,10000.000,10100.000,0.000,0.000
1290124800,10000.000,10260.000,0.000,0.000
1290384000,10000.000,10310.000,0.000,0.000
1290470400,10000.000,10220.000,0.000,0.000
1290556800,10000.000,10360.000,0.000,0.000
1290643200,10000.000,10440.000,0.000,0.000
1290729600,10000.000,10420.000,0.000,0.000
1290988800,10000.000,10440.000,0.000,0.000
1291075200,10000.000,10280.000,0.000,0.000
1291161600,10000.000,10240.000,0.000,0.000
1291248000,10000.000,10200.000,0.000,0.000
1291334400,10000.000,10140.000,0.000,0.000
1291593600,10000.000,10020.000,0.000,0.000
1291680000,10000.000,10089.000,0.000,0.000
1291766400,10000.000,10080.000,0.000,0.000
1291852800,10000.000,9930.000,0.000,0.000
1291939200,10000.000,9990.000,0.000,0.000
1292198400,10000.000,10180.000,0.000,0.000
1292284800,10000.000,10209.000,0.000,0.000
1292371200,10000.000,10160.000,0.000,0.000
1292457600,10000.000,10129.000,0.000,0.000
1292544000,10000.000,10100.000,0.000,0.000
1292803200,10000.000,10020.000,0.000,0.000
1292889600,10000.000,10040.000,0.000,0.000
1292976000,10000.000,9950.000,0.000,0.000
1293062400,10000.000,9850.000,0.000,0.000
1293148800,10000.000,9750.000,0.000,0.000
1293408000,10000.000,9580.000,0.000,0.000
1293494400,10000.000,9520.000,0.000,0.000
1293580800,10000.000,9630.000,0.000,0.000
1293667200,10000.000,9660.000,0.000,0.000
1293753600,10000.000,9830.000,0.000,0.000
1294099200,10000.000,9860.000,0.000,0.000
1294185600,10000.000,9800.000,0.000,0.000
1294272000,10000.000,9750.000,0.000,0.000
1294358400,10000.000,9710.000,0.000,0.000
1294617600,10000.000,9520.000,0.000,0.000
1294704000,10000.000,9500.000,0.000,0.000
1294790400,10000.000,9510.000,0.000,0.000
1294876800,10000.000,9570.000,0.000,0.000
1294963200,10000.000,9480.000,0.000,0.000
1295222400,10000.000,9180.000,0.000,0.000
1295308800,10000.000,9270.000,0.000,0.000
1295395200,10000.000,9400.000,0.000,0.000
1295481600,10000.000,9160.000,0.000,0.000
1295568000,10000.000,9110.000,0.000,0.000
1295827200,10000.000,8940.000,0.000,0.000
1295913600,10000.000,8870.000,0.000,0.000
1296000000,10000.000,8970.000,0.000,0.000
1296086400,10000.000,9050.000,0.000,0.000
1296172800,10000.000,9150.000,0.000,0.000
1296432000,10000.000,9230.000,0.000,0.000
1296518400,10000.000,9210.000,0.000,0.000
1297209600,10000.000,9180.000,0.000,0.000
1297296000,10000.000,9400.000,0.000,0.000
1297382400,10000.000,9490.000,0.000,0.000
1297641600,10000.000,9620.000,0.000,0.000
1297728000,10000.000,9570.000,0.000,0.000
